l_ear,l_forehead,r_forehead,r_ear,ch5,ch6
814.3223443223443,815.5311355311355,844.945054945055,832.8571428571429,nan,nan
824.3956043956044,816.7399267399268,842.1245421245421,830.0366300366301,nan,nan
826.007326007326,815.1282051282052,841.3186813186813,836.886446886447,nan,nan
829.2307692307693,815.5311355311355,841.7216117216118,838.4981684981685,nan,nan
828.8278388278388,817.948717948718,839.7069597069598,856.2271062271062,nan,nan
821.978021978022,815.934065934066,843.3333333333334,855.4212454212454,nan,nan
807.8754578754579,811.9047619047619,846.5567765567765,844.945054945055,nan,nan
793.3699633699634,809.0842490842491,848.974358974359,844.945054945055,nan,nan
796.5934065934066,807.0695970695971,851.3919413919414,846.1538461538462,nan,nan
796.5934065934066,805.8608058608058,845.7509157509157,849.3772893772895,nan,nan
801.025641025641,811.5018315018315,842.5274725274726,850.5860805860806,nan,nan
807.0695970695971,815.5311355311355,842.5274725274726,841.7216117216118,nan,nan
809.4871794871796,812.3076923076924,840.9157509157509,845.3479853479854,nan,nan
805.054945054945,812.3076923076924,841.3186813186813,835.2747252747253,nan,nan
809.8901098901099,813.5164835164835,839.7069597069598,827.6190476190476,nan,nan
821.1721611721612,814.3223443223443,842.1245421245421,833.2600732600733,nan,nan
822.3809523809524,812.3076923076924,842.5274725274726,831.6483516483516,nan,nan
825.2014652014652,811.5018315018315,840.1098901098901,839.7069597069598,nan,nan
826.8131868131868,815.1282051282052,838.901098901099,842.1245421245421,nan,nan
829.6336996336996,813.1135531135532,838.901098901099,841.7216117216118,nan,nan
833.2600732600733,813.5164835164835,841.3186813186813,851.3919413919414,nan,nan
826.8131868131868,815.934065934066,840.9157509157509,860.6593406593407,nan,nan
823.5897435897436,813.919413919414,843.7362637362637,854.2124542124542,nan,nan
827.6190476190476,811.0989010989011,845.3479853479854,846.959706959707,nan,nan
827.2161172161173,813.919413919414,840.5128205128206,845.7509157509157,nan,nan
817.948717948718,815.5311355311355,842.5274725274726,847.7655677655678,nan,nan
810.2930402930403,813.919413919414,846.1538461538462,850.989010989011,nan,nan
805.8608058608058,813.1135531135532,846.1538461538462,849.3772893772895,nan,nan
802.6373626373627,810.6959706959707,845.3479853479854,858.2417582417582,nan,nan
804.2490842490843,809.8901098901099,845.7509157509157,865.0915750915751,nan,nan
805.054945054945,810.6959706959707,845.7509157509157,863.8827838827839,nan,nan
800.6227106227107,810.6959706959707,847.3626373626374,868.3150183150184,nan,nan
801.4285714285714,811.0989010989011,847.3626373626374,880.4029304029305,nan,nan
804.6520146520147,808.6813186813187,848.1684981684982,887.6556776556777,nan,nan
809.0842490842491,810.2930402930403,848.5714285714286,889.6703296703297,nan,nan
815.5311355311355,813.1135531135532,846.5567765567765,875.9706959706959,nan,nan
815.5311355311355,817.1428571428571,844.5421245421246,867.5091575091575,nan,nan
815.1282051282052,818.3516483516484,846.959706959707,874.3589743589744,nan,nan
828.8278388278388,813.919413919414,846.1538461538462,886.0439560439561,nan,nan
834.0659340659341,811.5018315018315,844.5421245421246,895.3113553113553,nan,nan
818.3516483516484,814.3223443223443,846.1538461538462,900.952380952381,nan,nan
812.3076923076924,815.1282051282052,846.959706959707,898.1318681318681,nan,nan
822.3809523809524,813.919413919414,850.989010989011,890.8791208791209,nan,nan
827.6190476190476,813.5164835164835,847.3626373626374,888.8644688644689,nan,nan
821.978021978022,812.3076923076924,842.9304029304029,884.8351648351648,nan,nan
823.1868131868132,813.919413919414,845.7509157509157,893.6996336996338,nan,nan
825.6043956043957,814.7252747252747,847.3626373626374,900.952380952381,nan,nan
821.1721611721612,815.1282051282052,846.1538461538462,895.7142857142858,nan,nan
